"ID";"TIPO_DOCUMENTO";"ANO";"MÊS";"COD_SENADOR";"NOME_SENADOR";"TIPO_DESPESA";"CPF_CNPJ_FORNECEDOR";"NOME_FORNECEDOR";"DOCUMENTO";"DATA";"DETALHAMENTO";"VALOR_REEMBOLSADO"
"2231376";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"68.575.349/0001-95";"auto posto gnomo ltda";"8176";"2024-07-03";"VISITA A MUNICIPIOS DO INTERIOR";"117,15"
"2232939";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07.531.770/0001-00";"auto posto master do fonseca";"1781";"2024-07-21";"visita a municipios do interior";"260,15"
"2232940";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07.531.770/0001-00";"auto posto master do fonseca";"1807";"2024-07-23";"visita a municipios do interior";"238,92"
"2234575";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"07.531.770/0001-00";"auto posto master do fonseca";"1903";"2024-07-29";"visita a municipios do interior";"236,04"
"2232645";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"04.615.136/0001-67";"auto posto niteroi";"54864";"2024-07-15";"visita a municipios do interior";"219,52"
"2231599";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"12.455.190/0001-10";"AUTO POSTO TOP GLORIA LTDA";"51548";"2024-07-05";"visita a municipios do interior";"213,55"
"2232752";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"12.455.190/0001-10";"AUTO POSTO TOP GLORIA LTDA";"52478";"2024-07-17";"visita a municipios do interior";"209,21"
"2232789";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"12.455.190/0001-10";"AUTO POSTO TOP GLORIA LTDA";"52549";"2024-07-18";"visita a municipios do interior";"190,54"
"2232801";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"00.517.975/0001-91";"auto posto vale da figueira";"9475";"2024-07-20";"visita a municipios do interior";"209,35"
"2231695";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"05.064.564/0002-92";"cordeiro barroso petroleo";"1072102";"2024-07-04";"visita a municipios do interior";"150,00"
"2232635";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"27.696.384/0001-85";"empresa de restaurantes urich ltda";"161652";"2024-07-17";"almoço com equipe";"315,80"
"2232433";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"52.472.039/0001-05";"galpao barao";"776";"2024-07-12";"almoço em visita a municipios de Tres Rios e Areal com equipe";"387,10"
"2231702";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"30.961.525/0001-54";"gigante da washington luiz";"4195";"2024-07-06";"visita a municipios do interior";"181,08"
"2231691";"Cupom Fiscal";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"33.374.414/0001-30";"leiteria mineira ltda";"3776";"2024-07-08";"almoço com equipe";"125,70"
"2231567";"Fatura";"2024";"7";"5936";"CARLOS PORTINHO";"Locomoção, hospedagem, alimentação, combustíveis e lubrificantes";"16.670.085/0992-67";"localiza rent a car sa";"32697";"2024-07-03";"locaçao de veiculo pelo servidor Jose Ricardo Lopes Penha matricula 371455 pelos 3 dias de julho";"634,35"
